"time","GEO_ID","NAME","SVY_COMP","SVY_COMP_LABEL","AGG_DESC","AGG_DESC_LABEL","GOVTYPE","GOVTYPE_LABEL","AMOUNT",
"Year","Geographic identifier code","Geographic Area Name","Survey Component","Meaning of Survey Component","Aggregate Description","Meaning of Aggregate Description","Type of Government","Meaning of Type of Government","Amount",
"2019","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","476638",
"2020","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","476465",
"2021","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","462722",
"2022","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","465413",
"2012","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","100005",
"2013","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","108603",
"2014","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","108081",
"2015","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","111501",
"2016","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","116228",
"2017","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","120060",
"2018","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","125026",
"2019","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","130398",
"2020","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","135303",
"2021","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","142039",
"2022","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","156362",
"2012","0400000US06","California","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","38041",
